Feature_Browser,Device_Gamepads,Header_Connection,Media_CanPlayAudio,Feature_OS,Device_HardwareConcurrency,Header_GlobalPrivacyControl,Media_CanPlayVideo,UserAgent_AppCodeName,Device_Keyboard,Header_Online,Media_TypeSupportedAudio,UserAgent_AppName,Device_MediaDevices,Storage_AppCache,Media_IsTypeSupportedVideo,UserAgent_Product,Device_Pointer,Storage_Notification,Media_Capability,Screen_ColorDepth,Device_Plugins,Storage_Push,Media_Session,Screen_Inner,Device_SpeechEngines,Fonts_Documents,CSS_ColorsCss4,Screen_DPI,Device_VR,Fonts_GlyphOffset,Canvas_ToDataURL,Device_AnyHover,Header_Beacon,Fonts_Proportional,CSS_ColorsSystem,MISC_NavigatorKeys,MISC_PerfNavigation,Canvas_ToBlob,Canvas_GetImageData,Language,Timezone,Geolocation,Audio,Datetime,Elements_Height,Elements_Keys,Canvas_PointInPath,Canvas_IsPointInStroke,DomRect_ElementBoundingClientRect,DomRect_ElementGetClientRects,DomRect_GetClientRects
Chrome,0,keep-alive,probably,Windows 10,16,1,probably,Mozilla,present,true,audio/ogg; audio/webm,Netscape,absent,absent,maybe,Gecko,coarse,default,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,granted,no,1366x768,Moira; Microsoft David,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Bookman; Cantarell; Courier New; DejaVu Sans; Droid Sans; Fira Code; Geneva; Georgia; Helvetica; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#e5842e,96,not supported,1.7768,2d52bdb1c6f2de744c78f54926e046bca8fa0735,none,present,Abyssinica SIL; Arial; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Fira Code; Georgia; Helvetica; Impact; Liberation Mono; Monaco; Noto Sans; Noto Serif; Open Sans; Ubuntu; Verdana,#5b46a5,51,0,e19d7c172f4767b00e7cd664c20fd1d86390e4b6,6a4d241ebb70bfc27d0cb10d7b0ef4389d7c6159,pt-BR,-720,granted,81b15d87ae5cf941d06ab1b90c9acc9e62a5d4bf,2023-07-29 10:00,892,27,false,false,1.2022,1.1038,1.1426
Firefox,0,keep-alive,probably,macOS 12,4,0,probably,Mozilla,present,false,audio/mp4; audio/ogg; audio/webm,Netscape,present,present,,Gecko,coarse,granted,partial,24,PDF Viewer; Chrome PDF Viewer,denied,no,1440x900,Google US English; Alex; Microsoft Zira,AR PL UMing CN; AR PL UMing HK; Arial; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Garamond; Monaco; Noto Sans; Source Code Pro; Times New Roman; Trebuchet MS,#3291c3,96,not supported,-1.1362,f53ba101f98d2da72ce8a1da894e394b769ba224,none,present,Abyssinica SIL; Arial; DejaVu Sans; Droid Sans; Fira Code; Georgia; Impact; Open Sans; Roboto; Source Code Pro; Tahoma; Verdana,#0c3520,53,0,12a89b86cee2ba9bdcbffc1a299fbb03b4d98031,a848c041ba8a6f741f26ce774ecb3451b3002899,es-ES,345,granted,4fe0fd426afc1a31859fb5134051b49efb876853,2022-03-07 15:00,809,44,true,false,1.8714,1.8358,1.7203
Chrome,0,keep-alive,probably,macOS 12,8,0,probably,Mozilla,present,true,audio/mp4; audio/ogg,Netscape,present,absent,probably,Gecko,coarse,default,partial,32,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,default,yes,1440x900,Alex; Microsoft Mark,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Bookman; Cantarell; Courier New; DejaVu Sans; Droid Sans; Garamond; Geneva; Georgia; Impact; Liberation Mono; Lucida Console; Lucida Sans; Noto Sans; Source Code Pro; Tahoma; Times New Roman; Ubuntu; Verdana,#898515,144,not supported,0.6614,0a5d378a3b21face4a56d7af324312e7cfac6c16,none,absent,AR PL UMing CN; Aharoni CLM; Bookman; Fira Code; Georgia; Lucida Sans; Palatino; Trebuchet MS; Verdana,#a31d5c,48,0,eee05cf9da57b9cfbf3e2bc41a7a55b9c83fd8f7,7cf47a704fc61e5af951e6129420a0b7a2b3e5e9,es-ES,-300,denied,bada1f19c99bb4458414e329c50db07348441c12,2023-07-29 19:00,894,41,false,false,0.7032,0.6633,0.7514
Firefox,0,keep-alive,probably,Windows 10,4,0,maybe,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,absent,probably,Gecko,fine,default,full,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,denied,yes,1280x960,Google UK English Female; Microsoft Mark; Alex; eSpeak; Microsoft Zira,AR PL UMing CN; AR PL UMing HK; Aharoni CLM; Arial; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Fira Code; Garamond; Helvetica; Impact; Liberation Mono; Lucida Console; Lucida Sans; Noto Sans; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Times New Roman; Trebuchet MS; Verdana,#b8dc1d,96,not supported,-1.8308,d621fbb9b3be088e3eb1cd56989f200f71738654,hover,absent,AR PL UMing CN; AR PL UMing HK; Aharoni CLM; Arial; Bookman; Cantarell; Courier New; Droid Sans; Garamond; Geneva; Georgia; Helvetica; Liberation Mono; Lucida Console; Monaco; Open Sans; Palatino; Tahoma,#1661db,37,0,bd988020d570a8016e05a7640ebd01b497cfcdac,df25a83208cba08659e52da3dd574f1f06573702,en-US,480,granted,4b40dc6b396f57cf339462a2c9c1b0941d3412f6,2023-06-07 20:00,638,36,false,true,1.7402,1.8476,1.7821
Chrome,1,keep-alive,probably,Android 12,12,1,probably,Mozilla,present,true,audio/mp4,Netscape,present,present,probably,Gecko,fine,denied,full,24,PDF Viewer,denied,yes,1366x768,Festival; eSpeak; Google UK English Female; Karen; Fiona; Victoria,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Cantarell; Garamond; Helvetica; Lucida Console; Lucida Sans; Monaco; Noto Sans; Noto Serif; Open Sans; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#f1a0bf,96,not supported,0.0963,469f11d2958352c13f2c3dbb5b9d4c6c16f2d89c,hover,present,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Courier New; DejaVu Sans; Fira Code; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Noto Serif; Open Sans; Palatino; Roboto; Times New Roman,#baed59,34,2,fc5630b0ed2fa7931aaeb4c43f395682e7677b33,54820155a1f96b3533c43210c643195c95036c8c,pt-BR,360,denied,7fa9f61a6f17e041e1ba159b51209ee47a6a54d6,2023-11-03 22:00,919,32,true,true,1.6931,1.7704,1.6895
Chrome,0,close,,macOS 13,4,0,probably,Mozilla,present,true,audio/mp4; audio/ogg,Netscape,present,present,probably,Gecko,coarse,default,partial,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,granted,yes,1920x1080,espeak-ng; Karen; eSpeak; Google UK English Male; Samantha; Google US English,AR PL UMing CN; Abyssinica SIL; Aharoni CLM; Bookman; Cantarell; Comic Sans MS; DejaVu Sans; Droid Sans; Fira Code; Garamond; Helvetica; Lucida Console; Monaco; Noto Sans; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Trebuchet MS; Ubuntu,#cc8623,144,not supported,0.4187,793ce381603e883450f6ed97a948142eb50c8a8e,none,present,Abyssinica SIL; Arial; Bookman; Cantarell; Comic Sans MS; Courier New; Droid Sans; Fira Code; Geneva; Georgia; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Open Sans; Palatino; Roboto; Source Code Pro; Tahoma; Trebuchet MS; Verdana,#656135,33,1,d04c22c4a9cded0d213f57c04f7761029f8f84d1,2a6e46f77e92521a8e64f9006ccdc3e825b38c26,es-ES,240,prompt,8b23ecb5c667527fe24d5dc1af7b7b59dbe743fc,2022-05-30 04:00,599,29,true,false,0.5003,0.4921,0.6511
Edge,0,close,probably,Windows 11,8,0,probably,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,present,probably,Gecko,coarse,denied,full,32,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,default,yes,2560x1600,Victoria; Google US English; Alex; Samantha; Festival,AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Arial; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Fira Code; Garamond; Georgia; Impact; Liberation Mono; Lucida Console; Monaco; Noto Sans; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#bf03ce,72,not supported,-0.7376,d3856d9362f1482ad6031571e6288bdc9dbf2424,hover,present,AR PL UMing HK; Bookman; Cantarell; Comic Sans MS; Courier New; DejaVu Sans; Droid Sans; Fira Code; Garamond; Geneva; Georgia; Helvetica; Impact; Lucida Console; Lucida Sans; Monaco; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Verdana,#cb19d8,40,0,e30fa28c9454a09089b28cf04c411ebb2185b200,7601c90d20d147635905d25a8ca5e1ee81aad7b3,zh-CN,420,denied,7045e97ccbff1630465a413c6645212e8800f61d,2022-10-30 09:00,808,39,false,true,1.0019,1.0009,0.9304
Safari,0,keep-alive,probably,Windows 10,16,0,probably,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,present,present,probably,Gecko,fine,granted,full,24,Shockwave Flash; PDF Viewer,denied,yes,1440x900,Microsoft David; Google UK English Female; Google US English,AR PL UMing CN; Abyssinica SIL; Cantarell; Fira Code; Georgia; Helvetica; Impact; Liberation Mono; Lucida Sans; Monaco; Noto Serif; Palatino; Trebuchet MS,#bf3212,120,not supported,0.8535,77a9b273d64ad95f3de43ec54b9e8109f327aba8,none,absent,AR PL UMing HK; Abyssinica SIL; Bookman; Cantarell; Comic Sans MS; Courier New; Fira Code; Georgia; Helvetica; Liberation Mono; Lucida Sans; Noto Sans; Noto Serif; Palatino; Roboto; Source Code Pro; Tahoma; Trebuchet MS,#2c085c,47,0,63c6e144cf5b5db59eaeb5d3ef6785c27b181329,7d9c56c16af233463d37c4c562139db8196e2808,fr-FR,60,prompt,2ceaa235aa7e33a00801473e4197acb27be83c46,2022-03-09 09:00,783,42,false,false,1.9463,2.0065,2.0104
Safari,0,keep-alive,,Windows 11,32,1,maybe,Mozilla,present,true,audio/mp4; audio/ogg,Netscape,present,present,probably,Gecko,fine,granted,none,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,granted,yes,3840x2160,eSpeak; Karen; Microsoft Mark; Festival; Google US English; Moira,AR PL UMing HK; Aharoni CLM; Courier New; Droid Sans; Geneva; Impact; Noto Serif; Open Sans; Source Code Pro; Trebuchet MS,#90e8a4,120,not supported,-1.0205,077dd2a8401355fe5f7e05673b85b715699cff52,none,present,AR PL UMing CN; AR PL UMing HK; Bookman; DejaVu Sans; Droid Sans; Fira Code; Garamond; Geneva; Helvetica; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Serif; Open Sans; Roboto; Source Code Pro; Tahoma; Times New Roman; Trebuchet MS; Verdana,#574314,42,1,08f1e16b493825a33a38f706bf3b143beedec23f,598bf645166606acd1124cdd836024d468176343,en-US,480,denied,663afd13449577460653b55cb1d8a2f48c40dfd2,2022-06-13 10:00,875,43,true,true,2.3456,2.3302,2.3386
Chrome,0,keep-alive,probably,Ubuntu 22.04,4,1,maybe,Mozilla,present,true,audio/mp4; audio/ogg,Netscape,present,present,probably,Gecko,fine,denied,partial,24,PDF Viewer; Chrome PDF Viewer,denied,no,2560x1440,Karen; Google UK English Female; Google UK English Male; Festival; Alex; Microsoft Mark,AR PL UMing CN; AR PL UMing HK; Cantarell; Fira Code; Garamond; Helvetica; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Sans; Noto Serif; Open Sans; Palatino; Source Code Pro; Times New Roman; Trebuchet MS; Verdana,#e2e569,216,not supported,1.3704,b9378e4446c67caef825d3661ed0d0bfb3a81deb,hover,present,AR PL UMing CN; AR PL UMing HK; Abyssinica SIL; Aharoni CLM; Arial; Bookman; Cantarell; DejaVu Sans; Droid Sans; Fira Code; Garamond; Geneva; Georgia; Helvetica; Impact; Liberation Mono; Lucida Console; Noto Sans; Noto Serif; Open Sans; Palatino; Roboto; Source Code Pro; Ubuntu,#92a9d2,51,0,fcdeb3aaaea2675e1904622bb3a430039ee2a266,1913ddb6ac9c12d7e3ebd30d74fac4fd6b6b24b7,zh-CN,180,denied,7e719094cd126c86b0cd4e7c55023a34f3b96b53,2023-12-19 03:00,677,20,false,true,1.5144,1.5436,1.4407
Chrome,0,keep-alive,probably,Windows 11,8,0,probably,Mozilla,present,true,audio/mp4; audio/ogg; audio/webm,Netscape,absent,present,probably,Gecko,fine,default,full,24,,denied,no,1440x900,Microsoft Zira; eSpeak; Google UK English Female; Karen; Moira; Victoria,Aharoni CLM; Bookman; Cantarell; Courier New; Droid Sans; Fira Code; Geneva; Impact; Liberation Mono; Lucida Console; Lucida Sans; Monaco; Noto Serif; Open Sans; Palatino; Source Code Pro; Times New Roman; Trebuchet MS; Ubuntu; Verdana,#eb2993,160,not supported,0.6793,4ff681e4ddb619087afa0b76af292ee04d91b120,hover,present,DejaVu Sans; Garamond; Geneva; Georgia; Liberation Mono; Lucida Console; Noto Serif; Trebuchet MS; Verdana,#08e6ee,45,0,65556934b08a968c9fe701e423fc681ac2777c26,1e976adba9f93165213b5e792db805c49c8bad45,zh-CN,-300,prompt,439d65120f6fce40460400cf54caee7a0a149692,2022-10-22 10:00,726,40,false,false,1.1787,1.2252,1.1019
Chrome,0,keep-alive,probably,Ubuntu 22.04,16,1,probably,Mozilla,present,true,audio/mp4; audio/ogg,Netscape,absent,present,probably,Gecko,fine,default,full,24,PDF Viewer; Chrome PDF Viewer; Chromium PDF Viewer,default,yes,1600x900,Google UK English Male; Google US English; Fiona; Microsoft Mark; Microsoft Zira; Karen,AR PL UMing CN; AR PL UMing HK; Bookman; Cantarell; Courier New; Droid Sans; Garamond; Geneva; Georgia; Helvetica; Lucida Sans; Open Sans; Tahoma; Verdana,#7e0674,192,not supported,-0.6815,40a0858b35e803db4145c507f47628c3bf84e160,hover,present,AR PL UMing CN; Bookman; Cantarell; Comic Sans MS; DejaVu Sans; Droid Sans; Georgia; Helvetica; Liberation Mono; Lucida Sans; Monaco; Noto Sans; Noto Serif; Palatino; Tahoma; Times New Roman,#9322b9,43,1,607ea8a15233dbacc083697ff7dbf788ad09ec42,c9b9dced8f8b96ebc65d16217886c10165ef3abb,de-DE,-300,prompt,6db7d59876641efb972e9b629efee484b7abc761,2023-07-05 21:00,691,44,true,false,0.9117,0.872,0.7712
